symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,hold_days,exit_reason,sector
TITAN_NS,2017-01-12,2018-02-19,351.9040832519531,781.6165771484375,14,5873.151311340332,118.14835568803312,403,SELL: EMA bearish crossover — EMA20=806.35 crossed below EMA50=807.25,Consumer Durables
IOC_NS,2018-02-01,2018-02-19,78.80635070800781,73.14091491699219,78,-548.5709721679677,-8.844755602743906,18,SELL: EMA bearish crossover — EMA20=74.99 crossed below EMA50=75.01,Energy
VBL_NS,2017-12-19,2018-03-19,30.04788589477539,35.38213348388672,205,972.8023700141912,15.651849788992827,90,SELL: EMA bearish crossover — EMA20=36.65 crossed below EMA50=36.70,FMCG
TATAELXSI_NS,2017-10-10,2018-03-26,792.6986694335938,895.3990478515625,7,612.5524927368169,10.940721827775302,167,SELL: EMA bearish crossover — EMA20=917.49 crossed below EMA50=918.10,IT
COALINDIA_NS,2018-03-28,2018-04-04,147.80453491210938,143.23941040039062,40,-287.3808007812495,-4.817467947727875,7,SELL: EMA bearish crossover — EMA20=145.18 crossed below EMA50=145.24,Metals & Mining
VOLTAS_NS,2018-03-08,2018-05-14,602.9534301757812,569.6975708007812,9,-394.28746545410104,-7.201045002837603,67,SELL: EMA bearish crossover — EMA20=594.94 crossed below EMA50=596.12,Consumer Durables
TRENT_NS,2018-03-13,2018-05-21,345.0501403808594,329.6553649902344,17,-364.94112396240143,-6.165957248475819,69,SELL: EMA bearish crossover — EMA20=335.51 crossed below EMA50=335.70,Consumer Services
NTPC_NS,2018-03-27,2018-05-21,104.5182113647461,100.45479583740234,57,-336.7658377532953,-5.602347433730157,55,SELL: EMA bearish crossover — EMA20=103.61 crossed below EMA50=103.77,Power
SRF_NS,2018-02-14,2018-05-25,369.0669250488281,361.96533203125,16,-218.8941333007806,-3.6738197676935607,100,SELL: EMA bearish crossover — EMA20=401.07 crossed below EMA50=402.73,Chemicals
IRB_NS,2018-04-05,2018-05-28,22.27933883666992,22.099180221557617,272,-157.64175796508607,-2.578154268047424,53,SELL: EMA bearish crossover — EMA20=22.67 crossed below EMA50=22.69,Others
SHRIRAMFIN_NS,2018-03-16,2018-06-04,250.3910980224609,250.3305053710937,23,-105.04300288391096,-1.80771200264895,80,SELL: EMA bearish crossover — EMA20=257.15 crossed below EMA50=257.48,Financial Services
M&MFIN_NS,2018-04-04,2018-06-05,254.4210205078125,254.85797119140625,23,-95.37088555908122,-1.6152651486191865,62,SELL: EMA bearish crossover — EMA20=261.60 crossed below EMA50=261.91,Financial Services
COALINDIA_NS,2018-05-31,2018-06-21,154.5608673095703,139.66563415527344,39,-684.187595031738,-11.24915436562856,21,SELL: EMA bearish crossover — EMA20=145.86 crossed below EMA50=146.05,Metals & Mining
TORNTPOWER_NS,2018-06-05,2018-06-27,202.3018493652344,181.9644012451172,29,-690.0794868927005,-11.657625533915922,22,SELL: EMA bearish crossover — EMA20=198.72 crossed below EMA50=199.14,Power
PIDILITIND_NS,2017-11-17,2018-07-20,401.8100280761719,495.7764892578125,15,1288.3227378845222,21.184658874554735,245,SELL: EMA bearish crossover — EMA20=510.17 crossed below EMA50=510.40,Chemicals
DRREDDY_NS,2018-06-15,2018-07-25,445.1979675292969,399.0667114257813,13,-698.4852967834458,-11.961057469977074,40,SELL: EMA bearish crossover — EMA20=411.24 crossed below EMA50=411.41,Healthcare
ADANIPORTS_NS,2018-07-26,2018-09-11,383.1689758300781,349.9187927246094,15,-597.7195953369128,-10.30682092031514,47,SELL: EMA bearish crossover — EMA20=363.17 crossed below EMA50=363.61,Logistics
GMRAIRPORT_NS,2018-07-23,2018-09-21,16.48699188232422,13.733664237976074,365,-1104.239445542259,-18.186025768087212,60,Stop Loss,Others
NESTLEIND_NS,2018-03-01,2018-09-24,353.56201171875,438.0002136230469,17,1314.3404118957524,21.672158955386795,207,SELL: EMA bearish crossover — EMA20=470.92 crossed below EMA50=472.05,FMCG
ASTRAL_NS,2018-02-28,2018-09-26,403.1199035644531,440.18792724609375,15,442.173798065186,7.247301635995794,210,SELL: EMA bearish crossover — EMA20=477.85 crossed below EMA50=478.08,Capital Goods
BAJAJ-AUTO_NS,2018-09-12,2018-10-01,2347.632080078125,2234.791748046875,2,-308.1642929687496,-6.5047576147804955,19,SELL: EMA bearish crossover — EMA20=2269.33 crossed below EMA50=2271.05,Auto
TRENT_NS,2018-07-24,2018-10-03,333.5533447265625,334.71844482421875,18,-87.28822814941304,-1.4408763286580477,71,SELL: EMA bearish crossover — EMA20=346.99 crossed below EMA50=347.35,Consumer Services
ITC_NS,2018-07-10,2018-10-08,197.82180786132807,195.07281494140625,30,-188.5513357543914,-3.1487851311438755,90,SELL: EMA bearish crossover — EMA20=210.79 crossed below EMA50=211.56,FMCG
OIL_NS,2018-09-25,2018-10-08,97.00553894042967,85.59959411621094,62,-809.0622433471663,-13.332222279590717,13,SELL: EMA bearish crossover — EMA20=92.26 crossed below EMA50=92.58,Energy
ICICIGI_NS,2018-07-23,2018-10-12,747.2633666992188,743.4937744140625,8,-137.49125244140578,-2.2793983135038336,81,SELL: EMA bearish crossover — EMA20=762.49 crossed below EMA50=762.96,Others
SUNPHARMA_NS,2018-06-14,2018-10-23,517.9657592773438,534.9486694335938,11,82.57348327636828,1.4363348656669839,131,SELL: EMA bearish crossover — EMA20=564.28 crossed below EMA50=564.37,Healthcare
NMDC_NS,2018-11-05,2018-11-12,17.753713607788086,16.414100646972656,339,-558.374795007705,-9.194872929200107,7,SELL: EMA bearish crossover — EMA20=17.09 crossed below EMA50=17.11,Metals & Mining
ADANIENT_NS,2018-07-19,2019-01-10,95.42642211914062,149.23240661621094,62,3199.4514123840336,53.59496882730122,175,SELL: EMA bearish crossover — EMA20=153.55 crossed below EMA50=153.72,Metals & Mining
TATAPOWER_NS,2018-10-31,2019-01-14,69.88923645019531,67.83501434326172,86,-283.2616713104235,-4.670763739670439,75,SELL: EMA bearish crossover — EMA20=69.25 crossed below EMA50=69.26,Power
LT_NS,2018-11-06,2019-01-18,1225.410400390625,1184.1246337890625,4,-251.8863276367183,-5.0929788790290385,73,SELL: EMA bearish crossover — EMA20=1235.84 crossed below EMA50=1236.66,Construction
SRF_NS,2018-11-05,2019-02-04,387.5337829589844,383.0859680175781,15,-170.7508905029299,-2.9111929055803913,91,SELL: EMA bearish crossover — EMA20=395.34 crossed below EMA50=395.97,Chemicals
SBIN_NS,2018-11-12,2019-02-07,256.4691162109375,265.188720703125,23,92.56773107910249,1.555269092367929,87,SELL: EMA bearish crossover — EMA20=266.93 crossed below EMA50=266.98,Financial Services
INDHOTEL_NS,2019-02-04,2019-02-11,137.30340576171875,128.25405883789062,44,-503.3320206298822,-8.25713542134059,7,SELL: EMA bearish crossover — EMA20=132.06 crossed below EMA50=132.18,Others
AUROPHARMA_NS,2019-01-15,2019-02-18,754.125244140625,688.3518676757812,8,-630.0453637695309,-10.350162967217566,34,SELL: EMA bearish crossover — EMA20=726.50 crossed below EMA50=727.43,Healthcare
WIPRO_NS,2018-07-17,2019-03-26,97.4701690673828,117.06031799316406,61,1077.2218470764183,17.95611722981672,252,SELL: EMA bearish crossover — EMA20=121.23 crossed below EMA50=121.43,IT
GLENMARK_NS,2019-03-26,2019-05-08,630.7532958984375,586.7268676757812,9,-494.85374725341717,-8.639401531474117,43,SELL: EMA bearish crossover — EMA20=615.68 crossed below EMA50=616.35,Healthcare
SUPREMEIND_NS,2019-02-27,2019-05-09,1082.15478515625,933.2218017578124,5,-835.3568634033209,-15.301059023193675,71,SELL: EMA bearish crossover — EMA20=1024.26 crossed below EMA50=1025.22,Capital Goods
