symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,hold_days,exit_reason
VBL_NS,2017-12-19,2018-03-19,30.04788398742676,35.38214492797852,207,982.2958708248161,15.651894536967562,90,SELL: EMA bearish crossover — EMA20=36.65 crossed below EMA50=36.70
TATAELXSI_NS,2017-10-10,2018-03-26,792.69873046875,895.3989868164062,7,612.5516382446294,10.940705723401605,167,SELL: EMA bearish crossover — EMA20=917.49 crossed below EMA50=918.10
COALINDIA_NS,2018-03-28,2018-04-04,147.80455017089844,143.2394256591797,41,-294.56533206176755,-4.817467634558265,7,SELL: EMA bearish crossover — EMA20=145.18 crossed below EMA50=145.24
VOLTAS_NS,2018-03-08,2018-05-14,602.9534301757812,569.6975708007812,10,-438.09718383789004,-7.201045002837603,67,SELL: EMA bearish crossover — EMA20=594.94 crossed below EMA50=596.12
TRENT_NS,2018-03-13,2018-05-21,345.0501403808594,329.65533447265625,17,-364.9416380920402,-6.165965935086247,69,SELL: EMA bearish crossover — EMA20=335.51 crossed below EMA50=335.70
NTPC_NS,2018-03-27,2018-05-21,104.5181884765625,100.45478057861328,58,-342.6735479278559,-5.602341100547973,55,SELL: EMA bearish crossover — EMA20=103.61 crossed below EMA50=103.77
SRF_NS,2018-02-14,2018-05-25,369.06683349609375,361.96533203125,16,-218.8926552734365,-3.6737958724952016,100,SELL: EMA bearish crossover — EMA20=401.07 crossed below EMA50=402.73
IRB_NS,2018-04-05,2018-05-28,22.27933692932129,22.099184036254883,276,-159.9584445648179,-2.57812911101765,53,SELL: EMA bearish crossover — EMA20=22.67 crossed below EMA50=22.69
SHRIRAMFIN_NS,2018-03-16,2018-06-04,250.3910980224609,250.3304748535156,24,-109.6108157958979,-1.807723973186917,80,SELL: EMA bearish crossover — EMA20=257.15 crossed below EMA50=257.48
M&MFIN_NS,2018-04-04,2018-06-05,254.4209899902344,254.8579864501953,24,-99.51634387207105,-1.6152474569896582,62,SELL: EMA bearish crossover — EMA20=261.60 crossed below EMA50=261.91
COALINDIA_NS,2018-05-31,2018-06-21,154.56088256835938,139.6656494140625,40,-701.7308776855461,-11.249153431190042,21,SELL: EMA bearish crossover — EMA20=145.86 crossed below EMA50=146.05
TORNTPOWER_NS,2018-06-05,2018-06-27,202.30186462402344,181.9644317626953,30,-713.8748858642575,-11.657617381156212,22,SELL: EMA bearish crossover — EMA20=198.72 crossed below EMA50=199.14
PIDILITIND_NS,2017-11-17,2018-07-20,401.8100280761719,495.77642822265625,15,1288.321830596924,21.184643955483835,245,SELL: EMA bearish crossover — EMA20=510.17 crossed below EMA50=510.40
DRREDDY_NS,2018-06-15,2018-07-25,445.1979370117188,399.0667114257813,13,-698.4848964843741,-11.961051435054,40,SELL: EMA bearish crossover — EMA20=411.24 crossed below EMA50=411.41
ADANIPORTS_NS,2018-07-26,2018-09-11,383.1689758300781,349.91876220703125,16,-637.5680522460934,-10.306828742754695,47,SELL: EMA bearish crossover — EMA20=363.17 crossed below EMA50=363.61
GMRAIRPORT_NS,2018-07-23,2018-09-21,16.48699188232422,13.733664237976074,371,-1122.3913268388442,-18.186025768087216,60,Stop Loss
NESTLEIND_NS,2018-03-01,2018-09-24,353.56201171875,438.0002136230469,17,1314.3404118957524,21.672158955386795,207,SELL: EMA bearish crossover — EMA20=470.92 crossed below EMA50=472.05
ASTRAL_NS,2018-02-28,2018-09-26,403.1199951171875,440.18792724609375,15,442.1724124145512,7.247277279020604,210,SELL: EMA bearish crossover — EMA20=477.85 crossed below EMA50=478.08
BAJAJ-AUTO_NS,2018-09-12,2018-10-01,2347.63232421875,2234.791259765625,2,-308.1657534179685,-6.504787765602897,19,SELL: EMA bearish crossover — EMA20=2269.33 crossed below EMA50=2271.05
TRENT_NS,2018-07-24,2018-10-03,333.5533752441406,334.718505859375,18,-87.2876936645498,-1.4408673740296176,71,SELL: EMA bearish crossover — EMA20=346.99 crossed below EMA50=347.35
ITC_NS,2018-07-10,2018-10-08,197.82179260253903,195.07278442382807,30,-188.55178115844774,-3.148792812218243,90,SELL: EMA bearish crossover — EMA20=210.79 crossed below EMA50=211.56
OIL_NS,2018-09-25,2018-10-08,97.00553131103516,85.59960174560547,63,-822.1106730651845,-13.33220773864974,13,SELL: EMA bearish crossover — EMA20=92.26 crossed below EMA50=92.58
ICICIGI_NS,2018-07-23,2018-10-12,747.263427734375,743.49365234375,8,-137.4927128906238,-2.2794223393775814,81,SELL: EMA bearish crossover — EMA20=762.49 crossed below EMA50=762.96
SUNPHARMA_NS,2018-06-14,2018-10-23,517.9656372070312,534.9486083984375,11,82.57417279052788,1.4363471980155769,131,SELL: EMA bearish crossover — EMA20=564.28 crossed below EMA50=564.37
NMDC_NS,2018-11-05,2018-11-12,17.753711700439453,16.414098739624023,345,-568.2575228977194,-9.194873725384273,7,SELL: EMA bearish crossover — EMA20=17.09 crossed below EMA50=17.11
WIPRO_NS,2018-07-17,2020-03-19,97.4701690673828,74.82928466796875,62,-1499.8779279479959,-24.598087329357064,611,Stop Loss
ADANIENT_NS,2018-07-19,2018-12-31,95.42642211914062,1936.800048828125,63,114854.26607363891,1893.41919003909,165,Backtest End
ICICIGI_NS,2018-10-31,2018-12-31,771.0474243164062,1792.0999755859375,7,6985.889572692872,128.27777528812112,61,Backtest End
TATAPOWER_NS,2018-10-31,2019-07-30,69.88922882080078,54.81761169433594,87,-1408.8761461257927,-22.964243798135765,272,Stop Loss
CUMMINSIND_NS,2018-11-02,2019-08-21,672.0523071289062,510.8967590332031,9,-1546.218807220458,-25.33577534374315,292,Stop Loss
UPL_NS,2018-11-05,2020-03-13,450.0240478515625,377.1000061035156,13,-1044.7860570373523,-17.699342278445062,494,Stop Loss
SRF_NS,2018-11-05,2018-12-31,387.5338134765625,2478.800048828125,15,30982.038458862306,528.2237954574207,56,Backtest End
MUTHOOTFIN_NS,2018-11-06,2018-12-31,392.3481140136719,3306.39990234375,15,43211.44584274293,727.6873131703414,55,Backtest End
HAVELLS_NS,2018-11-06,2020-03-12,618.101318359375,514.8783981933593,9,-1020.7776385349125,-18.186025768087223,492,Stop Loss
SBIN_NS,2018-11-12,2020-03-12,256.4691162109375,196.1695556640625,23,-1480.5860976562499,-24.875945099125964,486,Stop Loss
