symbol,entry_date,exit_date,entry_price,exit_price,shares,exit_reason
TATASTEEL_NS,2020-10-21,2021-10-04,34.78375244140625,116.5440673828125,1472,SELL: EMA bearish crossover - Fast=117.72 crossed below Slow=117.78
TATASTEEL_NS,2021-10-18,2021-10-22,124.19251251220705,114.0884780883789,788,SELL: EMA bearish crossover - Fast=117.49 crossed below Slow=117.56
APLAPOLLO_NS,2020-06-04,2021-10-26,154.18556213378906,796.4996337890625,276,SELL: EMA bearish crossover - Fast=831.99 crossed below Slow=834.18
COCHINSHIP_NS,2021-11-15,2021-11-22,168.69564819335938,160.7671661376953,567,SELL: EMA bearish crossover - Fast=164.51 crossed below Slow=164.52
JSWENERGY_NS,2020-06-17,2021-11-26,45.20190048217773,295.2604064941406,972,SELL: EMA bearish crossover - Fast=315.07 crossed below Slow=316.26
COCHINSHIP_NS,2021-11-23,2021-11-26,164.8456573486328,160.92845153808594,574,SELL: EMA bearish crossover - Fast=164.27 crossed below Slow=164.43
JUBLFOOD_NS,2022-01-17,2022-01-21,772.26513671875,734.1372680664062,124,SELL: EMA bearish crossover - Fast=740.45 crossed below Slow=740.48
ATGL_NS,2021-08-26,2022-02-22,1302.44677734375,1585.73095703125,67,SELL: EMA bearish crossover - Fast=1733.94 crossed below Slow=1735.91
CGPOWER_NS,2021-08-03,2022-02-25,82.2214584350586,167.51199340820312,1088,SELL: EMA bearish crossover - Fast=171.54 crossed below Slow=171.61
JSWENERGY_NS,2022-02-11,2022-03-21,333.7938842773437,297.99884033203125,284,SELL: EMA bearish crossover - Fast=308.52 crossed below Slow=308.88
KPITTECH_NS,2022-03-22,2022-04-20,590.2432861328125,534.90185546875,159,SELL: EMA bearish crossover - Fast=570.77 crossed below Slow=571.98
OIL_NS,2022-01-13,2022-05-11,121.14820861816406,123.5359878540039,794,SELL: EMA bearish crossover - Fast=128.40 crossed below Slow=128.52
LODHA_NS,2022-06-15,2022-06-22,524.7603149414062,502.0061950683594,184,SELL: EMA bearish crossover - Fast=511.64 crossed below Slow=511.65
ATGL_NS,2022-03-22,2022-10-18,1881.8504638671875,3149.63134765625,49,SELL: EMA bearish crossover - Fast=3263.85 crossed below Slow=3269.55
TRENT_NS,2022-07-11,2022-12-22,1203.7579345703125,1328.4307861328125,80,SELL: EMA bearish crossover - Fast=1419.09 crossed below Slow=1422.89
ATGL_NS,2022-10-27,2022-12-27,3504.16845703125,3349.4765625,31,SELL: EMA bearish crossover - Fast=3524.73 crossed below Slow=3533.37
TVSMOTOR_NS,2023-01-02,2023-01-03,1059.184326171875,1028.09130859375,107,SELL: EMA bearish crossover - Fast=1040.51 crossed below Slow=1041.07
HAL_NS,2022-01-17,2023-01-09,656.0369262695312,1209.2081298828125,146,SELL: EMA bearish crossover - Fast=1236.50 crossed below Slow=1237.98
ADANIENT_NS,2022-03-21,2023-01-17,1799.738525390625,3634.36474609375,52,SELL: EMA bearish crossover - Fast=3761.83 crossed below Slow=3767.18
MAZDOCK_NS,2022-07-28,2023-01-27,133.63323974609375,352.0709533691406,746,SELL: EMA bearish crossover - Fast=378.06 crossed below Slow=378.11
ATGL_NS,2022-12-29,2023-01-27,3789.12744140625,2925.0107421875,30,Stop Loss
PAYTM_NS,2023-02-08,2023-03-15,675.9500122070312,569.7000122070312,163,Stop Loss
CGPOWER_NS,2023-04-18,2023-10-17,302.3666076660156,390.4345397949219,364,SELL: EMA bearish crossover - Fast=414.45 crossed below Slow=415.23
HAL_NS,2023-02-21,2023-10-26,1270.422119140625,1782.286376953125,86,SELL: EMA bearish crossover - Fast=1879.15 crossed below Slow=1884.46
TATASTEEL_NS,2023-11-22,2024-07-24,120.79258728027344,156.65667724609375,1103,SELL: EMA bearish crossover - Fast=163.51 crossed below Slow=163.83
ADANIGREEN_NS,2024-08-02,2024-08-06,1881.4000244140625,1749.5999755859375,117,SELL: EMA bearish crossover - Fast=1794.94 crossed below Slow=1796.34
HAL_NS,2023-11-09,2024-08-12,1989.3194580078125,4663.962890625,66,SELL: EMA bearish crossover - Fast=4799.30 crossed below Slow=4805.32
COCHINSHIP_NS,2023-04-24,2024-08-28,245.1820373535156,1991.4193115234373,449,SELL: EMA bearish crossover - Fast=2193.05 crossed below Slow=2205.07
IRFC_NS,2023-04-27,2024-09-03,30.113245010375977,174.90626525878906,3661,SELL: EMA bearish crossover - Fast=177.70 crossed below Slow=177.87
LODHA_NS,2024-09-25,2024-10-01,1384.8353271484375,1217.0384521484375,157,SELL: EMA bearish crossover - Fast=1287.31 crossed below Slow=1290.37
ADANIENT_NS,2024-10-03,2024-10-07,3114.4560546875,3016.504638671875,69,SELL: EMA bearish crossover - Fast=3065.89 crossed below Slow=3066.18
TATASTEEL_NS,2024-09-30,2024-10-21,164.70889282226562,151.4969940185547,1310,SELL: EMA bearish crossover - Fast=154.27 crossed below Slow=154.34
TRENT_NS,2023-03-08,2024-11-11,1338.500244140625,6475.0908203125,82,SELL: EMA bearish crossover - Fast=7108.69 crossed below Slow=7138.11
JSWENERGY_NS,2024-11-18,2024-11-21,709.9942626953125,696.3980102539062,300,SELL: EMA bearish crossover - Fast=702.38 crossed below Slow=702.47
IRFC_NS,2024-12-12,2024-12-23,160.3598175048828,145.63742065429688,1354,SELL: EMA bearish crossover - Fast=150.76 crossed below Slow=150.78
HAL_NS,2024-12-09,2024-12-26,4570.3330078125,4184.68505859375,47,SELL: EMA bearish crossover - Fast=4363.34 crossed below Slow=4373.75
APLAPOLLO_NS,2024-12-04,2025-01-30,1575.052734375,1470.7667236328125,135,SELL: EMA bearish crossover - Fast=1530.50 crossed below Slow=1532.57
JUBLFOOD_NS,2024-11-28,2025-02-14,641.18212890625,668.1351318359375,331,SELL: EMA bearish crossover - Fast=684.83 crossed below Slow=684.85
TVSMOTOR_NS,2025-02-05,2025-02-21,2606.242431640625,2315.3486328125,82,SELL: EMA bearish crossover - Fast=2421.48 crossed below Slow=2426.24
BSE_NS,2024-08-19,2025-03-03,889.261962890625,1448.581298828125,240,SELL: EMA bearish crossover - Fast=1760.18 crossed below Slow=1764.51
JSWENERGY_NS,2025-03-28,2025-04-01,535.78271484375,520.4432983398438,387,SELL: EMA bearish crossover - Fast=527.44 crossed below Slow=527.46
COCHINSHIP_NS,2025-04-03,2025-04-07,1455.76904296875,1224.550048828125,142,Stop Loss
HDFCAMC_NS,2025-03-27,2025-04-08,1999.1334228515625,1882.8408203125,103,SELL: EMA bearish crossover - Fast=1923.12 crossed below Slow=1923.15
TATASTEEL_NS,2025-03-05,2025-04-16,142.7705078125,133.84857177734375,1451,SELL: EMA bearish crossover - Fast=139.47 crossed below Slow=139.75
PERSISTENT_NS,2025-05-13,2025-07-24,5745.50927734375,5174.0,36,SELL: EMA bearish crossover - Fast=5666.85 crossed below Slow=5689.53
HAL_NS,2025-03-27,2025-07-28,4146.98193359375,4491.4716796875,50,SELL: EMA bearish crossover - Fast=4761.46 crossed below Slow=4764.11
BSE_NS,2025-04-07,2025-08-05,1722.052001953125,2367.199951171875,117,SELL: EMA bearish crossover - Fast=2495.09 crossed below Slow=2502.28
KPITTECH_NS,2025-09-18,2025-09-29,1301.4000244140625,1209.800048828125,165,SELL: EMA bearish crossover - Fast=1243.39 crossed below Slow=1243.76
OIL_NS,2025-10-15,2025-10-20,419.6554870605469,403.6846923828125,510,SELL: EMA bearish crossover - Fast=409.50 crossed below Slow=409.78
KALYANKJIL_NS,2025-11-12,2025-11-13,508.75,498.75,419,SELL: EMA bearish crossover - Fast=505.08 crossed below Slow=505.38
LODHA_NS,2025-11-14,2025-11-21,1209.5,1176.800048828125,175,SELL: EMA bearish crossover - Fast=1200.26 crossed below Slow=1201.28
HAL_NS,2025-09-17,2025-11-24,4890.2001953125,4445.10009765625,44,SELL: EMA bearish crossover - Fast=4705.20 crossed below Slow=4714.76
ADANIGREEN_NS,2025-09-22,2025-12-04,1152.1500244140625,1013.4000244140624,186,SELL: EMA bearish crossover - Fast=1040.57 crossed below Slow=1040.88
TVSMOTOR_NS,2025-04-02,2025-12-31,2496.10009765625,3813.10009765625,83,Backtest End
PAYTM_NS,2025-04-08,2025-12-31,815.1500244140625,1059.4000244140625,248,Backtest End
RVNL_NS,2025-12-26,2026-01-12,387.9500122070313,323.16236016845704,546,Stop Loss
IRFC_NS,2025-12-31,2026-02-25,124.62000274658205,104.4000015258789,1695,Stop Loss
