symbol,regime,sector,sector_bucket,entry_date,exit_date,entry_price,exit_price,shares,atr_at_entry,initial_stop,breakeven_hit,profit,profit_pct,hold_days,exit_reason,size_multiplier,deferred_exit,slippage_applied
IDEA.NS,R2,Telecom,Named Sector,2018-01-25,2018-02-02,55.292259216308594,54.930477142333984,113,2.927765945748393,46.508961379063415,False,-53.33654356765692,-0.6543087207908858,5,Time Stop (Day 5 Loss),1.0,False,False
ULTRACEMCO.NS,R2,Construction Materials,Named Sector,2018-02-07,2018-02-09,4157.89990234375,4060.0,2,111.57477975240602,3823.175563086532,False,-212.2356044921862,-2.35455168818675,2,RSI Overbought,1.0,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2018-03-21,2018-03-28,210.9600067138672,208.8099975585937,80,4.123997955603983,198.58801284705524,False,-205.58233276367173,-1.0191548572472464,5,Time Stop (Day 5 Loss),1.0,False,False
JINDALSTEL.NS,R2,Others,Others,2018-05-24,2018-05-29,226.3000030517578,235.0,29,11.261939181764005,192.5141855064658,False,238.92221141052323,3.8444528638615987,3,RSI Overbought,1.0,False,False
DMART.NS,R2,Others,Others,2018-06-27,2018-07-02,1469.699951171875,1495.949951171875,7,43.51819794515104,1339.145357336422,False,162.99045068359555,1.7860788509293606,3,RSI Overbought,1.0,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2018-06-29,2018-07-04,335.0,337.29998779296875,27,11.270224581991316,301.18932625402607,False,43.9475707397487,0.6865635202891791,3,RSI Overbought,1.0,False,False
ULTRACEMCO.NS,R2,Construction Materials,Named Sector,2020-09-09,2020-09-11,3811.0,3915.5,1,97.6566293067577,3518.0301120797267,False,96.77350000000024,2.7420624508003146,2,SMA Exit,0.5,False,False
BAJFINANCE.NS,R2,Financial Services,Named Sector,2020-09-22,2020-09-24,332.8999938964844,302.8900146484375,14,11.23157036748407,299.20528279403214,False,-429.04076959228496,-9.014713066464793,3,Initial Stop,0.5,False,False
IDEA.NS,R2,Telecom,Named Sector,2020-09-24,2020-09-28,8.949999809265137,10.75,338,0.9398671064701468,6.130398489854697,False,601.7414645328527,20.111734403295557,2,RSI Overbought,1.0,False,False
ATGL.NS,R2,Energy,Named Sector,2020-10-16,2020-10-21,182.5500030517578,192.1999969482422,20,8.33630686302563,157.54108246268092,False,185.50487792968806,5.286219520767876,3,SMA Exit,0.5,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2021-01-28,2021-02-02,433.0,475.2250061035156,10,15.55673077238128,386.32980768285614,False,413.1678109741215,9.751733511204533,3,SMA Exit,0.5,False,False
LUPIN.NS,R2,Healthcare,Named Sector,2021-02-02,2021-02-03,1000.0,1037.699951171875,4,37.07857911376074,888.7642626587178,False,142.6490048828132,3.7699951171875004,1,SMA Exit,0.5,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2021-03-19,2021-03-26,363.6900024414063,357.0,28,12.004152285390536,327.6775455852347,False,-207.49938842773372,-1.8394793358346786,5,Time Stop (Day 5 Loss),1.0,False,False
BAJAJFINSV.NS,R2,Financial Services,Named Sector,2021-03-23,2021-03-30,942.4000244140624,954.7000122070312,13,29.537210677065058,853.7883923828672,False,135.23754083252243,1.305176939125865,4,RSI Overbought,1.0,False,False
BAJAJFINSV.NS,R2,Financial Services,Named Sector,2021-04-13,2021-04-15,920.0,975.1699829101562,5,29.160376181414772,832.5188714557557,False,266.3740646362312,5.996737272843071,1,SMA Exit,0.5,False,False
OBEROIRLTY.NS,R2,Realty,Named Sector,2021-04-23,2021-04-28,532.5,544.9000244140625,6,26.62799299734889,452.61602100795335,False,67.93574633789103,2.3286430824530515,3,RSI Overbought,0.5,False,False
PHOENIXLTD.NS,R2,Realty,Named Sector,2021-08-23,2021-08-25,403.5,418.4500122070313,21,15.927224411666913,355.71832676499923,False,296.68930609131166,3.705083570515813,2,RSI Overbought,1.0,False,False
PRESTIGE.NS,R2,Realty,Named Sector,2021-11-25,2021-11-26,435.8500061035156,463.0,13,24.451379929598904,362.4958663147189,False,341.2648705749516,6.229205808485448,1,SMA Exit,1.0,False,False
JUBLFOOD.NS,R2,Consumer Services,Named Sector,2021-11-29,2021-12-02,723.0,736.0,13,25.920241415911953,645.2392757522641,False,150.03300000000127,1.7980636237897647,3,RSI Overbought,1.0,False,False
POLYCAB.NS,R2,Capital Goods,Named Sector,2021-11-29,2021-12-02,2205.0,2331.449951171875,6,83.64174346701104,1954.074769598967,False,731.4810073242206,5.7346916631235825,3,RSI Overbought,1.0,False,False
ULTRACEMCO.NS,R2,Construction Materials,Named Sector,2021-12-07,2021-12-09,7285.0,7476.7998046875,4,192.39474291563076,6707.815771253107,False,708.1520195312551,2.6328044569320523,2,RSI Overbought,1.0,False,False
ADANIPORTS.NS,R2,Logistics,Named Sector,2021-10-29,2021-12-14,697.0,755.9000244140625,13,25.450799048061732,620.6476028558147,False,746.8126170654305,8.450505654815279,30,Limbo Cap (Day 20),1.0,False,False
POWERINDIA.NS,R2,Others,Others,2021-12-21,2021-12-23,2455.300048828125,2540.0,6,116.65058659808194,2105.348289033879,False,478.2279067382824,3.4496782261826175,2,RSI Overbought,1.0,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2021-11-29,2021-12-27,559.0,489.2501067248413,14,23.2499644250529,489.2501067248413,False,-991.1740073463689,-12.477619548328924,21,Initial Stop,1.0,False,False
INDHOTEL.NS,R2,Others,Others,2021-12-21,2021-12-28,184.0,179.35000610351562,37,8.870971185749996,157.38708644275002,False,-185.4937243957511,-2.5271705959154214,5,Time Stop (Day 5 Loss),1.0,False,False
FORTIS.NS,R2,Healthcare,Named Sector,2022-01-24,2022-02-01,275.95001220703125,271.95001220703125,67,9.178111063638685,248.4156790161152,False,-304.7093016357394,-1.449537895653001,5,Time Stop (Day 5 Loss),1.0,False,False
