symbol,regime,sector,sector_bucket,entry_date,exit_date,entry_price,exit_price,shares,atr_at_entry,initial_stop,breakeven_hit,profit,profit_pct,hold_days,exit_reason,size_multiplier,deferred_exit,slippage_applied
NHPC.NS,S1,Power,Named Sector,2018-04-09,2018-04-19,28.700000762939453,27.350000381469727,622,0.7614353322434023,0.0,False,-874.5633379859901,-4.703833956732828,7,S1 EMA Bearish Cross,1.0,False,False
HINDALCO.NS,S1,Metals & Mining,Named Sector,2018-04-20,2018-05-07,262.1000061035156,234.25,117,9.355151820368622,0.0,False,-3316.523664825436,-10.625717457067264,9,S1 EMA Bearish Cross,1.0,False,False
IRB.NS,S1,Others,Others,2018-04-05,2018-05-29,24.114999771118164,23.915000915527344,627,0.7404170209577572,0.0,False,-155.51409288596915,-0.8293545821648861,36,S1 EMA Bearish Cross,1.0,False,False
JINDALSTEL.NS,R2,Others,Others,2018-05-24,2018-05-29,226.3000030517578,235.0,87,11.261939181764005,192.5141855064658,False,716.7666342315715,3.8444528638615987,3,RSI Overbought,1.0,False,False
NATIONALUM.NS,S1,Metals & Mining,Named Sector,2018-04-12,2018-05-31,76.3499984741211,71.19999694824219,229,2.9329139533465023,0.0,False,-1213.1392983779897,-6.745254261693933,33,S1 EMA Bearish Cross,1.0,False,False
TORNTPOWER.NS,S1,Power,Named Sector,2018-06-05,2018-06-28,249.25,219.8000030517578,39,11.33849617514869,0.0,False,-1166.8428311004627,-11.815445114640797,16,S1 EMA Bearish Cross,1.0,False,False
DMART.NS,R2,Others,Others,2018-06-27,2018-07-02,1469.699951171875,1495.949951171875,16,43.51819794515104,1339.145357336422,False,372.5496015625031,1.7860788509293606,3,RSI Overbought,1.0,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2018-06-29,2018-07-04,335.0,337.29998779296875,15,11.270224581991316,301.18932625402607,False,24.415317077637155,0.6865635202891791,3,RSI Overbought,1.0,False,False
OFSS.NS,S1,IT,Named Sector,2018-06-21,2018-07-09,4047.85009765625,3790.0,13,124.38378560318786,0.0,False,-3453.943320800776,-6.370050556109972,11,S1 EMA Bearish Cross,1.0,False,False
DRREDDY.NS,S1,Healthcare,Named Sector,2018-06-15,2018-07-26,469.9700012207031,415.1400146484375,36,13.023231011022204,0.0,False,-2005.7434771728495,-11.666699242472895,28,S1 EMA Bearish Cross,1.0,False,False
BEL.NS,S1,Capital Goods,Named Sector,2018-08-14,2018-09-06,39.20000076293945,31.566665649414062,41,1.6436881358703574,0.0,False,-315.86817297744733,-19.47279327795859,14,S1 EMA Bearish Cross,1.0,False,False
LTF.NS,S1,Others,Others,2018-07-27,2018-09-17,164.58367919921875,147.8416290283203,51,6.403400842206608,0.0,False,-869.7782494354242,-10.172363537111831,32,S1 EMA Bearish Cross,1.0,False,False
BANKBARODA.NS,S1,Financial Services,Named Sector,2018-07-31,2018-09-19,153.35000610351562,112.0,38,6.362105194052406,0.0,False,-1581.383532165527,-26.964463291643558,32,S1 Fixed Stop (15%),1.0,False,False
GMRAIRPORT.NS,S1,Others,Others,2018-07-23,2018-09-24,16.48699188232422,15.09055233001709,179,0.6561363193948038,0.0,False,-255.61506027698488,-8.469947472978733,40,S1 Fixed Stop (15%),1.0,False,False
VOLTAS.NS,S1,Consumer Durables,Named Sector,2018-07-30,2018-10-01,568.0,530.2000122070312,49,17.026481773781317,0.0,False,-1906.0112024536102,-6.654927428339569,40,S1 EMA Bearish Cross,1.0,False,False
ULTRACEMCO.NS,S1,Construction Materials,Named Sector,2018-07-13,2018-10-03,3963.75,3955.0,13,90.85309486692634,0.0,False,-216.69374999999854,-0.22075055187637968,52,S1 EMA Bearish Cross,1.0,False,False
CIPLA.NS,S1,Healthcare,Named Sector,2018-06-19,2018-10-05,601.8499755859375,635.2999877929688,30,16.877529376386263,0.0,False,966.3858673095747,5.557865508670268,72,Macro Exit (OFF),1.0,False,False
WIPRO.NS,S1,IT,Named Sector,2018-07-17,2018-10-05,106.4625244140625,121.80003356933594,76,2.287523016694763,0.0,False,1148.3027413940436,14.4064864511587,52,Macro Exit (OFF),1.0,False,False
ADANIENT.NS,S1,Metals & Mining,Named Sector,2018-07-19,2018-10-05,96.91687774658205,131.5500030517578,36,4.678479321398298,0.0,False,1238.5677032775875,35.73487519452944,50,Macro Exit (OFF),1.0,False,False
CANBK.NS,S1,Financial Services,Named Sector,2018-11-19,2018-11-21,52.220001220703125,51.380001068115234,173,2.4337060910293813,0.0,False,-163.24282679367025,-1.6085793430714521,1,Macro Exit (OFF),1.0,False,False
PIDILITIND.NS,S1,Chemicals,Named Sector,2018-11-19,2018-11-21,561.2999877929688,564.2750244140625,37,19.250747290736108,0.0,False,68.4300795288109,0.5300261332254064,1,Macro Exit (OFF),1.0,False,False
LICHSGFIN.NS,S1,Others,Others,2018-11-29,2018-12-06,470.4500122070313,431.8500061035156,28,14.918935079227778,0.0,False,-1106.0645714111324,-8.204911276849739,4,S1 EMA Bearish Cross,1.0,False,False
