date,rejected_symbol,rejected_strategy,reason,r2_symbol_occupying_slot,r2_entry_date,r2_current_pnl
2022-01-17,BANKBARODA.NS,S1,Sector cap reached (Financial Services),ADANIPOWER.NS,2021-12-21,485.86
2024-12-16,IREDA.NS,S1,Sector cap reached (Others),JSWSTEEL.NS,2024-11-14,1601.24
