date,rejected_symbol,rejected_strategy,reason,r2_symbol_occupying_slot,r2_entry_date,r2_current_pnl
2022-01-12,FEDERALBNK.NS,S1,Sector cap reached (Financial Services),ADANIPOWER.NS,2021-12-21,1136.93
2022-01-13,GAIL.NS,S1,Sector cap reached (Energy),ADANIPOWER.NS,2021-12-21,984.86
2022-01-17,BANKBARODA.NS,S1,Sector cap reached (Financial Services),ADANIPOWER.NS,2021-12-21,964.24
2022-01-19,IOC.NS,S1,Sector cap reached (Energy),ADANIPOWER.NS,2021-12-21,853.41
2023-11-29,LICI.NS,S1,Sector cap reached (Financial Services),ABCAPITAL.NS,2023-10-27,-78.07
2024-12-12,JINDALSTEL.NS,S1,Sector cap reached (Others),JSWSTEEL.NS,2024-11-14,2133.08
2024-12-13,IRB.NS,S1,Sector cap reached (Others),JSWSTEEL.NS,2024-11-14,1948.82
2024-12-16,IREDA.NS,S1,Sector cap reached (Others),JSWSTEEL.NS,2024-11-14,1654.61
