Ticker,Date,Open,High,Low,Close,Adj Close,Volume
MRF.NS,2015-01-01,37950.0,38320.0,37848.3515625,37981.3515625,37342.30859375,9595
MRF.NS,2015-01-02,38150.0,38400.0,37981.0,38192.25,37549.67578125,11099
MRF.NS,2015-01-05,38299.0,39390.0,38000.0,38477.30078125,37829.92578125,38178
MRF.NS,2015-01-06,38350.0,38350.0,37350.0,37460.0,36829.73828125,15734
MRF.NS,2015-01-07,37499.0,37724.94921875,37011.0,37381.05078125,36752.11328125,10795
MRF.NS,2015-01-08,37790.0,38200.0,37712.55078125,38076.5,37435.875,13462
MRF.NS,2015-01-09,38400.0,38489.5,37500.0,37707.25,37072.8203125,11069
MRF.NS,2015-01-12,37799.0,38300.0,37611.0,38094.44921875,37453.51171875,11590
MRF.NS,2015-01-13,38150.0,38400.0,38002.3515625,38170.1015625,37527.88671875,9242
MRF.NS,2015-01-14,38180.0,38388.0,37925.8515625,38235.3515625,37592.03125,8681
MRF.NS,2015-01-15,38460.3515625,38798.0,38011.1484375,38321.3984375,37676.640625,11451
MRF.NS,2015-01-16,38400.0,39874.05078125,38140.0,39161.75,38502.84765625,24081
MRF.NS,2015-01-19,38925.0,39950.0,38925.0,39496.1015625,38831.578125,17565
MRF.NS,2015-01-20,39700.0,39980.0,39400.1015625,39513.19921875,38848.390625,15524
MRF.NS,2015-01-21,39540.0,39679.94921875,38800.05078125,38902.6484375,38248.125,8900
MRF.NS,2015-01-22,38999.0,39485.55078125,38959.0,39146.55078125,38487.91796875,10228
MRF.NS,2015-01-23,39550.0,39599.0,38420.0,38728.1484375,38076.546875,10573
MRF.NS,2015-01-27,39005.0,40250.0,38801.44921875,39944.6015625,39272.53125,20521
MRF.NS,2015-01-28,40049.0,40307.0,39501.5,39729.55078125,39061.1015625,9457
MRF.NS,2015-01-29,39900.0,40100.0,39599.0,39901.5,39230.15234375,8400
MRF.NS,2015-01-30,40000.0,40290.0,39651.0,40036.8984375,39363.265625,7726
MRF.NS,2015-02-02,40000.0,40480.0,39900.05078125,40218.25,39541.57421875,7555
MRF.NS,2015-02-03,40397.0,41150.0,40253.55078125,40623.3984375,39939.90234375,16966
MRF.NS,2015-02-04,40674.0,40850.0,39700.0,40056.30078125,39425.05859375,8193
MRF.NS,2015-02-05,40150.0,40268.0,39650.0,39729.1015625,39103.015625,4235
MRF.NS,2015-02-06,39850.0,39974.0,38500.0,38837.3984375,38225.35546875,7886
MRF.NS,2015-02-09,38849.8984375,38849.8984375,37111.0,37290.1015625,36702.44921875,9430
MRF.NS,2015-02-10,37496.0,38299.0,35520.0,36648.94921875,36071.40625,17124
MRF.NS,2015-02-11,37199.0,38048.0,37000.0,37877.25,37280.3515625,15305
MRF.NS,2015-02-12,38290.0,41664.94921875,38000.0,40755.25,40112.984375,59601
MRF.NS,2015-02-13,41540.0,41782.0,40250.1015625,40585.5,39945.9140625,26119
MRF.NS,2015-02-16,40750.0,41470.0,40566.0,40994.6484375,40348.61328125,15540
MRF.NS,2015-02-18,41199.0,41700.0,40670.3515625,41445.94921875,40792.8125,10466
MRF.NS,2015-02-19,41687.0,41687.0,40330.0,41119.0,40471.0078125,9764
MRF.NS,2015-02-20,41349.0,41349.0,40638.6484375,40945.75,40300.47265625,7555
MRF.NS,2015-02-23,40949.0,41158.0,40420.0,40550.75,39911.69921875,5923
MRF.NS,2015-02-24,40640.0,41180.0,40488.8984375,40874.69921875,40230.55859375,6536
MRF.NS,2015-02-25,40800.0,41130.1015625,40710.6484375,40912.30078125,40267.5625,7821
MRF.NS,2015-02-26,40950.0,40998.0,39551.19921875,39833.80078125,39206.05859375,18102
MRF.NS,2015-02-27,40048.0,41450.0,40000.0,41200.75,40551.4765625,13165
