Ticker,Date,Open,High,Low,Close,Adj Close,Volume
TVSMOTOR.NS,2015-01-01,267.8999938964844,278.79998779296875,265.70001220703125,277.54998779296875,259.6556396484375,3402919
TVSMOTOR.NS,2015-01-02,280.0,280.0,266.70001220703125,267.45001220703125,250.20689392089844,4469469
TVSMOTOR.NS,2015-01-05,267.79998779296875,271.8500061035156,265.0,270.8999938964844,253.434326171875,2662119
TVSMOTOR.NS,2015-01-06,268.5,275.6000061035156,264.1499938964844,268.04998779296875,250.76808166503903,4281631
TVSMOTOR.NS,2015-01-07,269.8999938964844,279.79998779296875,269.20001220703125,278.29998779296875,260.3572692871094,5465436
TVSMOTOR.NS,2015-01-08,282.0,297.8999938964844,282.0,296.20001220703125,277.1031799316406,6558340
TVSMOTOR.NS,2015-01-09,298.0,300.1000061035156,291.0,296.5,277.38385009765625,4546016
TVSMOTOR.NS,2015-01-12,293.8500061035156,305.0,290.54998779296875,299.5,280.1904602050781,2950576
TVSMOTOR.NS,2015-01-13,302.20001220703125,312.5,301.0,308.95001220703125,289.0312194824219,4856296
TVSMOTOR.NS,2015-01-14,309.0,313.5,306.1000061035156,307.8999938964844,288.048828125,3127154
TVSMOTOR.NS,2015-01-15,312.0,317.5,303.20001220703125,316.04998779296875,295.6734313964844,4089886
TVSMOTOR.NS,2015-01-16,316.04998779296875,321.3500061035156,313.20001220703125,320.1499938964844,299.50909423828125,2772948
TVSMOTOR.NS,2015-01-19,321.29998779296875,322.25,307.8500061035156,308.8500061035156,288.9376220703125,3061675
TVSMOTOR.NS,2015-01-20,309.79998779296875,313.5,305.6000061035156,308.95001220703125,289.0312194824219,2235687
TVSMOTOR.NS,2015-01-21,310.0,311.79998779296875,298.20001220703125,300.6499938964844,281.2663269042969,2976914
TVSMOTOR.NS,2015-01-22,302.0,305.0,297.04998779296875,300.6000061035156,281.21954345703125,3300030
TVSMOTOR.NS,2015-01-23,303.45001220703125,309.3999938964844,300.0,306.45001220703125,286.6923217773437,2822168
TVSMOTOR.NS,2015-01-27,307.0,314.6499938964844,307.0,308.3999938964844,288.5166320800781,2597322
TVSMOTOR.NS,2015-01-28,308.6000061035156,316.5,308.20001220703125,312.0,291.884521484375,2605964
TVSMOTOR.NS,2015-01-29,312.0,313.5,309.3999938964844,310.1000061035156,290.1070556640625,1590269
TVSMOTOR.NS,2015-01-30,312.0,314.70001220703125,306.20001220703125,308.20001220703125,288.3294982910156,2215039
TVSMOTOR.NS,2015-02-02,308.04998779296875,308.3999938964844,282.6000061035156,285.25,266.8591613769531,4440110
