symbol,oversold_bounce_rate,overbought_fall_rate,mr_score,strength,num_oversold,num_overbought
ITC.NS,0.4909090909090909,0.5060975609756098,0.49850332594235036,Weak/Trending,220,328
SIEMENS.NS,0.5551020408163265,0.5314861460957179,0.5432940934560222,Moderate Mean Reversion,245,397
ADANIPORTS.NS,0.5661375661375662,0.45321637426900585,0.509676970203286,Weak/Trending,189,342
HINDUNILVR.NS,0.4954128440366973,0.5351473922902494,0.5152801181634734,Weak/Trending,218,441
MOTHERSON.NS,0.4642857142857143,0.5018867924528302,0.48308625336927224,Weak/Trending,224,265
CIPLA.NS,0.4975369458128079,0.5889328063241107,0.5432348760684593,Moderate Mean Reversion,203,253
ICICIGI.NS,0.5625,0.5382513661202186,0.5503756830601093,Moderate Mean Reversion,208,366
UNIONBANK.NS,0.4745098039215686,0.47003154574132494,0.4722706748314468,Weak/Trending,255,317
BANKINDIA.NS,0.4715447154471545,0.4618055555555556,0.46667513550135503,Weak/Trending,246,288
PHOENIXLTD.NS,0.5978835978835979,0.5161290322580645,0.5570063150708312,Moderate Mean Reversion,189,434
MARICO.NS,0.5406698564593302,0.5688311688311688,0.5547505126452494,Moderate Mean Reversion,209,385
UNITDSPR.NS,0.45901639344262296,0.4444444444444444,0.4517304189435337,Weak/Trending,61,72
TATATECH.NS,0.5045871559633027,0.5384615384615384,0.5215243472124206,Weak/Trending,109,52
M&M.NS,0.5431472081218274,0.5082417582417582,0.5256944831817928,Weak/Trending,197,364
BAJFINANCE.NS,0.5424836601307189,0.5095890410958904,0.5260363506133047,Weak/Trending,153,365
AXISBANK.NS,0.4948453608247423,0.523972602739726,0.5094089817822341,Weak/Trending,194,292
JSWSTEEL.NS,0.577639751552795,0.48615384615384616,0.5318967988533205,Moderate Mean Reversion,161,325
TRENT.NS,0.5212765957446809,0.5240384615384616,0.5226575286415712,Weak/Trending,188,416
POLICYBZR.NS,0.44805194805194803,0.5632911392405063,0.5056715436462271,Weak/Trending,154,158
RECLTD.NS,0.5641025641025641,0.44258373205741625,0.5033431480799901,Weak/Trending,234,418
GLENMARK.NS,0.4748858447488584,0.42905405405405406,0.45196994940145624,Weak/Trending,219,296
CHOLAFIN.NS,0.5647058823529412,0.532967032967033,0.5488364576599871,Moderate Mean Reversion,170,364
KEI.NS,0.5918367346938775,0.5168269230769231,0.5543318288854003,Moderate Mean Reversion,147,416
SRF.NS,0.5535714285714286,0.508641975308642,0.5311067019400353,Moderate Mean Reversion,224,405
TATACONSUM.NS,0.5251396648044693,0.484375,0.5047573324022346,Weak/Trending,179,384
IGL.NS,0.549800796812749,0.5095541401273885,0.5296774684700687,Weak/Trending,251,314
DLF.NS,0.5725806451612904,0.45409429280397023,0.5133374689826303,Weak/Trending,248,403
SUNPHARMA.NS,0.5520361990950227,0.5319148936170213,0.541975546356022,Moderate Mean Reversion,221,329
