symbol,num_uptrends,num_downtrends,avg_uptrend_return,avg_downtrend_return,avg_uptrend_days,trend_quality
BDL.NS,25,25,7.071404238329405,3.802560154784915,63.52,3.2688440835444905
COFORGE.NS,20,20,15.182750168115826,5.148135003804912,109.6,10.034615164310914
ASTRAL.NS,25,25,7.159531042142757,2.160087486741535,81.6,4.999443555401222
TORNTPHARM.NS,24,24,4.1939781061768535,4.345134809312076,85.45833333333333,-0.15115670313522234
EXIDEIND.NS,26,25,0.424473146637229,3.3592216915753403,61.92307692307692,-2.9347485449381114
HEROMOTOCO.NS,20,19,7.178917590545453,-0.7571547385437664,88.7,7.936072329089219
HAL.NS,18,18,14.08580588532477,3.1327915422369785,93.88888888888889,10.953014343087792
MPHASIS.NS,26,25,6.167754577162689,3.5564844118574395,76.23076923076923,2.6112701653052492
PERSISTENT.NS,22,21,18.406853948742118,4.8352600469554075,97.36363636363636,13.57159390178671
UPL.NS,25,25,1.9563647910373925,1.6066896475307655,71.52,0.349675143506627
SONACOMS.NS,10,10,1.8894657987994645,0.0930746244749864,77.2,1.796391174324478
INDUSINDBK.NS,19,19,2.663603704841735,-0.09643537888216995,95.10526315789474,2.760039083723905
COLPAL.NS,22,22,6.0236454547481495,1.154756038239512,84.5909090909091,4.868889416508638
YESBANK.NS,24,23,-2.6541927127025393,-5.000394640354998,60.833333333333336,2.346201927652459
MAZDOCK.NS,12,11,39.44636908918372,4.00970917461443,90.41666666666667,35.43665991456929
OBEROIRLTY.NS,25,24,3.8518233156139092,3.9045612748363325,81.92,-0.0527379592224233
TECHM.NS,20,20,9.488433589328988,0.7987966999739617,101.35,8.689636889355025
HDFCLIFE.NS,25,24,1.263590638743614,2.2669031686891605,64.16,-1.0033125299455465
TCS.NS,28,27,0.719669729428987,4.306786525738613,70.10714285714286,-3.587116796309626
LTIM.NS,21,20,11.500732342563868,3.729791046380803,101.04761904761905,7.770941296183065
SBILIFE.NS,24,24,5.015247423425089,0.8413699023989091,80.45833333333333,4.1738775210261805
IDEA.NS,25,24,-0.5332363185715379,2.781020106614952,52.08,-3.31425642518649
COCHINSHIP.NS,22,21,17.957647909426026,0.9316801883944802,69.13636363636364,17.025967721031545
SUPREMEIND.NS,23,23,7.935821197474041,0.9882936044789438,82.1304347826087,6.9475275929950975
NAUKRI.NS,20,20,9.20970824420364,4.348789397662557,98.7,4.860918846541082
BEL.NS,23,23,9.544031868575532,4.38445149108974,83.65217391304348,5.159580377485792
ADANIENT.NS,20,19,50.55141681227073,4.751307175596748,101.45,45.80010963667398
OFSS.NS,25,24,5.778643779689816,1.2630669800390686,73.0,4.515576799650747
MFSL.NS,25,26,2.057920999672338,5.663905804094562,71.44,-3.6059848044222242
APLAPOLLO.NS,23,23,20.547395362941824,2.6483750514325552,89.95652173913044,17.89902031150927
POLYCAB.NS,18,18,11.856311839118298,5.36623639669526,93.11111111111111,6.490075442423038
ABB.NS,23,23,7.227261694410898,2.350177296901381,79.08695652173913,4.877084397509517
MRF.NS,26,26,3.690671828181391,0.8978469618613164,71.23076923076923,2.7928248663200748
LICI.NS,8,9,4.609274939074427,-0.0598132531949112,77.0,4.669088192269339
WIPRO.NS,27,26,4.982737245705639,1.3112718186714223,71.0,3.671465427034217
